step,train_loss,valid_loss
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.1785, 2.5373, 2.4442, 2.3235, 2.2344, 2.1442, 2.0594, 1.9997, 1.947, 1.8836, 1.8316, 1.7969, 1.7873, 1.7412, 1.7061, 1.6985, 1.6765, 1.6561, 1.6396, 1.6286, 1.6126, 1.6153, 1.5957, 1.5789, 1.5788, 1.5602, 1.5524, 1.5508, 1.5447, 1.5428, 1.5421, 1.5157, 1.5123, 1.5043, 1.5102, 1.5037, 1.4954, 1.4788, 1.4834, 1.4791, 1.4722, 1.4684, 1.4721, 1.4624, 1.46, 1.465, 1.4458, 1.4517, 1.4473, 1.4325, 1.4319]","[4.1755, 2.5306, 2.4634, 2.3373, 2.2607, 2.1619, 2.1159, 2.082, 2.0516, 1.9854, 1.9602, 1.92, 1.9207, 1.8906, 1.8656, 1.8688, 1.8503, 1.8203, 1.8011, 1.7841, 1.7896, 1.7957, 1.7775, 1.7734, 1.7454, 1.7394, 1.7295, 1.7192, 1.7151, 1.7106, 1.7075, 1.706, 1.7133, 1.6916, 1.6941, 1.6963, 1.6851, 1.6871, 1.6684, 1.6691, 1.6518, 1.6613, 1.6562, 1.6587, 1.6547, 1.6388, 1.6405, 1.6366, 1.634, 1.6256, 1.6426]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2313, 2.5637, 2.4555, 2.3756, 2.3157, 2.167, 2.0413, 1.9987, 1.9197, 1.8774, 1.8419, 1.7895, 1.7568, 1.751, 1.7046, 1.7006, 1.6686, 1.6593, 1.6484, 1.6179, 1.6188, 1.6006, 1.5914, 1.5813, 1.574, 1.5696, 1.5581, 1.5472, 1.5372, 1.5407, 1.5075, 1.5134, 1.5172, 1.5049, 1.5019, 1.4953, 1.4876, 1.4848, 1.4683, 1.4712, 1.4632, 1.4798, 1.4585, 1.4585, 1.4556, 1.4515, 1.4431, 1.4411, 1.455, 1.4443, 1.4337]","[4.2262, 2.5808, 2.4463, 2.3952, 2.3323, 2.2071, 2.1002, 2.0787, 2.0308, 1.9926, 1.9578, 1.9456, 1.9149, 1.9066, 1.8637, 1.8782, 1.8445, 1.8076, 1.7992, 1.8126, 1.7822, 1.7591, 1.7858, 1.7561, 1.7468, 1.7313, 1.7388, 1.729, 1.698, 1.7036, 1.7009, 1.6986, 1.7039, 1.6784, 1.6766, 1.6784, 1.6703, 1.6642, 1.656, 1.661, 1.6604, 1.6775, 1.6552, 1.6487, 1.6399, 1.6404, 1.6442, 1.6552, 1.6476, 1.6401, 1.6471]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2199, 2.5539, 2.4245, 2.319, 2.2373, 2.1492, 2.1053, 1.9686, 1.9248, 1.8888, 1.8195, 1.7957, 1.7616, 1.7466, 1.7086, 1.704, 1.6722, 1.6552, 1.6455, 1.6208, 1.6142, 1.6046, 1.5858, 1.5794, 1.5715, 1.5499, 1.5592, 1.5549, 1.5438, 1.5411, 1.5175, 1.5258, 1.5132, 1.5105, 1.506, 1.4899, 1.5, 1.4838, 1.4853, 1.475, 1.4686, 1.4703, 1.4739, 1.4671, 1.4578, 1.4471, 1.4553, 1.4521, 1.4362, 1.4543, 1.4425]","[4.2194, 2.5597, 2.4447, 2.3427, 2.2595, 2.1861, 2.1534, 2.0502, 2.0195, 2.0155, 1.9534, 1.9314, 1.9283, 1.8875, 1.8691, 1.8647, 1.8433, 1.818, 1.8272, 1.804, 1.7814, 1.7841, 1.7685, 1.7828, 1.7394, 1.7272, 1.7332, 1.7288, 1.7076, 1.7127, 1.7143, 1.7131, 1.705, 1.6915, 1.6947, 1.7003, 1.6736, 1.6706, 1.6925, 1.6644, 1.6519, 1.6508, 1.6576, 1.6656, 1.6526, 1.6488, 1.6546, 1.6698, 1.6339, 1.645, 1.6742]"
