step,train_loss,valid_loss
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.1785, 2.5152, 2.375, 2.2003, 2.1107, 2.0216, 1.9615, 1.8997, 1.8718, 1.826, 1.7805, 1.7766, 1.7594, 1.7298, 1.6971, 1.6948, 1.676, 1.6639, 1.6502, 1.6426, 1.623, 1.634, 1.607, 1.5847, 1.5896, 1.5699, 1.5682, 1.5666, 1.5632, 1.5589, 1.553, 1.5225, 1.5293, 1.5207, 1.5246, 1.5108, 1.5088, 1.4938, 1.5012, 1.4873, 1.4892, 1.4816, 1.4926, 1.4721, 1.4741, 1.4851, 1.454, 1.4644, 1.4599, 1.4478, 1.4394]","[4.1755, 2.5149, 2.3974, 2.2408, 2.1541, 2.0573, 2.0435, 2.0037, 1.9961, 1.9544, 1.9266, 1.907, 1.8925, 1.8804, 1.8711, 1.8605, 1.8524, 1.8257, 1.7996, 1.797, 1.8091, 1.82, 1.8008, 1.7911, 1.7618, 1.7486, 1.7567, 1.7511, 1.7457, 1.7355, 1.7234, 1.7034, 1.7256, 1.7205, 1.709, 1.7053, 1.7057, 1.7085, 1.6956, 1.6927, 1.6813, 1.667, 1.6758, 1.6756, 1.6799, 1.6718, 1.6623, 1.6612, 1.6508, 1.6571, 1.6706]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2313, 2.5109, 2.4079, 2.2213, 2.113, 2.0268, 1.9564, 1.9018, 1.8561, 1.8362, 1.8007, 1.7688, 1.7403, 1.7438, 1.6975, 1.6952, 1.6659, 1.6643, 1.6509, 1.6302, 1.6238, 1.6141, 1.6132, 1.6, 1.5842, 1.5803, 1.5766, 1.5679, 1.5558, 1.5617, 1.5339, 1.5353, 1.5353, 1.5304, 1.5191, 1.5197, 1.5033, 1.4997, 1.4924, 1.4896, 1.4763, 1.489, 1.4802, 1.4799, 1.4644, 1.4702, 1.4578, 1.4585, 1.4736, 1.4551, 1.4557]","[4.2262, 2.5226, 2.4187, 2.2565, 2.1563, 2.1026, 2.0399, 2.0158, 1.9955, 1.9817, 1.9366, 1.9343, 1.8966, 1.8947, 1.8691, 1.859, 1.8525, 1.8241, 1.8141, 1.825, 1.8083, 1.7876, 1.799, 1.7893, 1.7866, 1.7543, 1.7651, 1.7703, 1.7334, 1.7283, 1.7319, 1.7308, 1.7285, 1.7049, 1.7075, 1.713, 1.6991, 1.7021, 1.6867, 1.6968, 1.6805, 1.7036, 1.6919, 1.686, 1.6745, 1.6758, 1.6866, 1.6833, 1.67, 1.6684, 1.6822]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2199, 2.5193, 2.3946, 2.2208, 2.1284, 2.0321, 1.9674, 1.9069, 1.8592, 1.8387, 1.7871, 1.7839, 1.7452, 1.7465, 1.703, 1.7145, 1.6791, 1.672, 1.6534, 1.6395, 1.6194, 1.6282, 1.6025, 1.605, 1.6013, 1.5731, 1.5878, 1.58, 1.5613, 1.5702, 1.543, 1.5426, 1.538, 1.5384, 1.532, 1.5118, 1.5221, 1.5075, 1.5098, 1.5015, 1.4974, 1.4946, 1.4966, 1.493, 1.484, 1.4738, 1.4804, 1.4738, 1.4639, 1.4745, 1.4641]","[4.2194, 2.5297, 2.4148, 2.256, 2.164, 2.0959, 2.0518, 2.0352, 1.9942, 1.9847, 1.956, 1.9443, 1.9286, 1.9028, 1.8662, 1.8739, 1.849, 1.8348, 1.8416, 1.8322, 1.7976, 1.806, 1.7908, 1.8072, 1.7686, 1.7603, 1.7597, 1.7588, 1.7419, 1.7413, 1.737, 1.7382, 1.737, 1.7239, 1.732, 1.722, 1.7113, 1.6977, 1.7188, 1.7109, 1.6891, 1.6834, 1.691, 1.6994, 1.6937, 1.6887, 1.6754, 1.6855, 1.6674, 1.6746, 1.6908]"
