step,train_loss,valid_loss
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.1785, 2.5547, 2.4315, 2.3203, 2.2328, 2.1229, 2.052, 1.9978, 1.9452, 1.8958, 1.8515, 1.8306, 1.803, 1.7766, 1.7326, 1.7218, 1.7, 1.6894, 1.6706, 1.6624, 1.6421, 1.6471, 1.626, 1.5939, 1.595, 1.5793, 1.5791, 1.572, 1.5714, 1.5626, 1.5574, 1.5305, 1.5328, 1.5312, 1.5234, 1.511, 1.5082, 1.4882, 1.5051, 1.4862, 1.4925, 1.4792, 1.4849, 1.4746, 1.4689, 1.4772, 1.4565, 1.4619, 1.4563, 1.4432, 1.4423]","[4.1755, 2.5403, 2.4446, 2.3419, 2.2562, 2.1371, 2.1017, 2.0719, 2.05, 2.0074, 1.9809, 1.9481, 1.9168, 1.915, 1.8982, 1.8863, 1.8688, 1.8485, 1.8209, 1.8087, 1.8196, 1.8204, 1.8131, 1.7857, 1.7564, 1.7527, 1.7649, 1.7456, 1.7515, 1.7329, 1.726, 1.7306, 1.7242, 1.7277, 1.7052, 1.7053, 1.6991, 1.6919, 1.6993, 1.6768, 1.6702, 1.6715, 1.6697, 1.669, 1.6669, 1.6561, 1.6498, 1.6569, 1.6336, 1.6375, 1.661]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2313, 2.5649, 2.4393, 2.3062, 2.2137, 2.1179, 2.0561, 1.9857, 1.9219, 1.8904, 1.8473, 1.818, 1.7803, 1.7824, 1.731, 1.7235, 1.6879, 1.6804, 1.6698, 1.6437, 1.6433, 1.6228, 1.6172, 1.6012, 1.5966, 1.5883, 1.5834, 1.5727, 1.5605, 1.5598, 1.5355, 1.5366, 1.5377, 1.5249, 1.5146, 1.5144, 1.5068, 1.496, 1.4887, 1.4886, 1.4817, 1.4871, 1.4732, 1.4739, 1.4598, 1.4611, 1.4509, 1.4483, 1.4644, 1.4513, 1.4493]","[4.2262, 2.5712, 2.4411, 2.3284, 2.2332, 2.1775, 2.1291, 2.0708, 2.0289, 2.0088, 1.9679, 1.9613, 1.9182, 1.9187, 1.8848, 1.8905, 1.8658, 1.8272, 1.8283, 1.8416, 1.8078, 1.7799, 1.8067, 1.7783, 1.7598, 1.7445, 1.7642, 1.7626, 1.7297, 1.7248, 1.734, 1.7243, 1.7149, 1.7061, 1.7048, 1.6989, 1.6877, 1.6888, 1.6778, 1.684, 1.6651, 1.6983, 1.6786, 1.664, 1.6476, 1.6528, 1.6532, 1.6564, 1.6571, 1.6556, 1.6568]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2199, 2.6108, 2.4569, 2.3298, 2.2392, 2.1357, 2.0562, 1.9863, 1.9288, 1.8963, 1.8497, 1.8199, 1.7931, 1.7754, 1.7268, 1.7317, 1.6937, 1.6823, 1.6739, 1.6542, 1.6399, 1.6348, 1.6163, 1.6074, 1.6053, 1.5749, 1.5956, 1.5838, 1.564, 1.5686, 1.55, 1.5443, 1.5409, 1.5429, 1.5266, 1.5132, 1.523, 1.5059, 1.5155, 1.4974, 1.5003, 1.4902, 1.4955, 1.4865, 1.4837, 1.4687, 1.4774, 1.4775, 1.4582, 1.472, 1.4584]","[4.2194, 2.6143, 2.4786, 2.3426, 2.255, 2.1739, 2.1173, 2.0765, 2.0267, 2.0235, 1.9771, 1.961, 1.9535, 1.923, 1.8836, 1.8762, 1.8534, 1.8457, 1.8671, 1.8491, 1.8149, 1.8113, 1.7944, 1.7979, 1.7575, 1.7661, 1.7635, 1.7587, 1.737, 1.741, 1.7451, 1.7402, 1.7151, 1.7296, 1.7167, 1.7219, 1.6964, 1.6873, 1.7123, 1.6919, 1.6804, 1.6695, 1.6799, 1.6867, 1.6775, 1.6724, 1.661, 1.6785, 1.6516, 1.6558, 1.6752]"
