step,train_loss,valid_loss
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.1785, 2.5938, 2.4475, 2.3631, 2.2445, 2.1473, 2.0685, 1.9649, 1.9125, 1.8564, 1.8102, 1.7862, 1.7736, 1.7354, 1.7039, 1.6903, 1.6636, 1.6611, 1.641, 1.6224, 1.608, 1.6138, 1.5888, 1.57, 1.5763, 1.5598, 1.5478, 1.5484, 1.5406, 1.5379, 1.5346, 1.5154, 1.5075, 1.5011, 1.5086, 1.4989, 1.4862, 1.4748, 1.4822, 1.4726, 1.4717, 1.4683, 1.4716, 1.4579, 1.4578, 1.4636, 1.4382, 1.4463, 1.4414, 1.432, 1.4224]","[4.1755, 2.5839, 2.4646, 2.3841, 2.2674, 2.1603, 2.1198, 2.0458, 2.0182, 1.9764, 1.9517, 1.9142, 1.904, 1.8899, 1.8707, 1.8531, 1.8407, 1.8201, 1.8096, 1.7856, 1.7929, 1.7918, 1.7891, 1.7754, 1.7444, 1.7258, 1.729, 1.7343, 1.7147, 1.7223, 1.7142, 1.7093, 1.7121, 1.6979, 1.6919, 1.7004, 1.6739, 1.6872, 1.6869, 1.6654, 1.6671, 1.6616, 1.6592, 1.6554, 1.6683, 1.6434, 1.6491, 1.6454, 1.6353, 1.6301, 1.6522]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2313, 2.6713, 2.5151, 2.3665, 2.2733, 2.17, 2.0714, 1.9983, 1.9261, 1.8904, 1.8532, 1.8065, 1.7759, 1.7608, 1.725, 1.7071, 1.6798, 1.6699, 1.6609, 1.6317, 1.6294, 1.6068, 1.6014, 1.5895, 1.5794, 1.5756, 1.5712, 1.5544, 1.5504, 1.547, 1.5218, 1.5208, 1.5183, 1.5122, 1.495, 1.5019, 1.4936, 1.4894, 1.4752, 1.4768, 1.4639, 1.4796, 1.4587, 1.465, 1.4549, 1.4506, 1.4427, 1.4423, 1.4562, 1.4436, 1.4397]","[4.2262, 2.6802, 2.5126, 2.3882, 2.2854, 2.2115, 2.1182, 2.0756, 2.0345, 2.0157, 1.969, 1.9591, 1.9354, 1.9155, 1.8847, 1.8619, 1.8468, 1.8212, 1.8325, 1.8322, 1.7994, 1.7727, 1.7956, 1.7751, 1.7565, 1.7485, 1.7454, 1.7498, 1.7215, 1.716, 1.7202, 1.7068, 1.7243, 1.6926, 1.6887, 1.6969, 1.6911, 1.6865, 1.6807, 1.6709, 1.6621, 1.6929, 1.6655, 1.663, 1.6432, 1.651, 1.6555, 1.6551, 1.6564, 1.6441, 1.657]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2199, 2.5987, 2.4537, 2.3419, 2.2777, 2.1498, 2.1321, 2.0014, 1.9343, 1.9029, 1.8406, 1.8089, 1.7781, 1.7563, 1.7158, 1.7156, 1.6803, 1.6756, 1.6597, 1.6357, 1.6172, 1.6162, 1.6049, 1.593, 1.5876, 1.5659, 1.5737, 1.5658, 1.547, 1.548, 1.5267, 1.5316, 1.5172, 1.5242, 1.5165, 1.4954, 1.5091, 1.4947, 1.4959, 1.4882, 1.4847, 1.4802, 1.4816, 1.4743, 1.4661, 1.4518, 1.467, 1.4626, 1.4427, 1.4594, 1.453]","[4.2194, 2.6074, 2.4698, 2.3571, 2.2884, 2.1901, 2.1792, 2.08, 2.0325, 2.0273, 1.9848, 1.9516, 1.9483, 1.9048, 1.8797, 1.8724, 1.8459, 1.837, 1.8417, 1.8323, 1.8119, 1.8054, 1.794, 1.8035, 1.764, 1.7472, 1.7643, 1.7514, 1.7261, 1.7295, 1.7287, 1.7362, 1.7164, 1.7079, 1.7079, 1.7098, 1.6903, 1.6912, 1.7044, 1.6811, 1.6663, 1.6581, 1.6744, 1.6735, 1.6724, 1.6666, 1.6673, 1.685, 1.65, 1.6612, 1.6746]"
