step,train_loss,valid_loss
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.1785, 2.5503, 2.4282, 2.3084, 2.2114, 2.1179, 2.0077, 1.9384, 1.8789, 1.8301, 1.7818, 1.7597, 1.7463, 1.7151, 1.6882, 1.6727, 1.6466, 1.6384, 1.6204, 1.6089, 1.5932, 1.5933, 1.5761, 1.5644, 1.5621, 1.5435, 1.5356, 1.5407, 1.5288, 1.5249, 1.5221, 1.5016, 1.4994, 1.4895, 1.4985, 1.4859, 1.4844, 1.4684, 1.4744, 1.462, 1.4603, 1.4573, 1.4607, 1.4504, 1.4443, 1.454, 1.4359, 1.4385, 1.4383, 1.4199, 1.4162]","[4.1755, 2.5462, 2.4446, 2.3335, 2.2443, 2.1378, 2.0722, 2.0309, 1.9882, 1.9526, 1.9226, 1.8819, 1.8812, 1.8691, 1.8611, 1.8478, 1.8248, 1.8192, 1.7831, 1.779, 1.7833, 1.782, 1.7629, 1.7676, 1.7391, 1.7209, 1.7216, 1.7339, 1.7104, 1.7072, 1.7148, 1.6956, 1.6938, 1.6929, 1.691, 1.6841, 1.6836, 1.67, 1.6794, 1.661, 1.6454, 1.657, 1.6505, 1.6509, 1.6567, 1.6502, 1.648, 1.6371, 1.6266, 1.6185, 1.6468]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2313, 2.5856, 2.4588, 2.3252, 2.2142, 2.0995, 2.0183, 1.9392, 1.8756, 1.8348, 1.8, 1.7668, 1.7411, 1.7318, 1.6878, 1.6753, 1.649, 1.6448, 1.6344, 1.6151, 1.6122, 1.5973, 1.5887, 1.5729, 1.5662, 1.561, 1.5548, 1.5413, 1.5343, 1.5369, 1.5105, 1.5136, 1.5106, 1.4991, 1.4961, 1.4895, 1.4866, 1.4854, 1.4698, 1.4661, 1.4596, 1.4716, 1.4515, 1.458, 1.4469, 1.4491, 1.4396, 1.4352, 1.4505, 1.4346, 1.4311]","[4.2262, 2.6003, 2.4558, 2.3477, 2.2379, 2.1509, 2.0721, 2.0425, 2.0036, 1.9609, 1.9306, 1.9229, 1.9038, 1.8845, 1.8481, 1.848, 1.8413, 1.8118, 1.8022, 1.8167, 1.7936, 1.7778, 1.7892, 1.7732, 1.7683, 1.7386, 1.7378, 1.7483, 1.7068, 1.707, 1.7211, 1.7081, 1.7083, 1.6879, 1.6935, 1.6903, 1.6831, 1.6825, 1.6693, 1.6679, 1.6624, 1.6853, 1.6677, 1.662, 1.6479, 1.6565, 1.6633, 1.6552, 1.6459, 1.6505, 1.6526]"
"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900, 2000, 2100, 2200, 2300, 2400, 2500, 2600, 2700, 2800, 2900, 3000, 3100, 3200, 3300, 3400, 3500, 3600, 3700, 3800, 3900, 4000, 4100, 4200, 4300, 4400, 4500, 4600, 4700, 4800, 4900, 5000]","[4.2199, 2.5521, 2.4189, 2.3172, 2.2013, 2.087, 2.0191, 1.9331, 1.8838, 1.8467, 1.7993, 1.7652, 1.7382, 1.7235, 1.6857, 1.6779, 1.6459, 1.6446, 1.6268, 1.6137, 1.5953, 1.5982, 1.5764, 1.5708, 1.5635, 1.5451, 1.5558, 1.5526, 1.5355, 1.5372, 1.5167, 1.5143, 1.5032, 1.5015, 1.4979, 1.48, 1.4947, 1.4777, 1.4775, 1.4729, 1.466, 1.4628, 1.4677, 1.4624, 1.4519, 1.4377, 1.4502, 1.4465, 1.4328, 1.4461, 1.4396]","[4.2194, 2.5598, 2.4368, 2.3315, 2.2225, 2.1357, 2.0796, 2.0385, 1.9942, 1.9775, 1.9372, 1.9149, 1.9197, 1.8754, 1.8542, 1.8441, 1.8208, 1.821, 1.8184, 1.8119, 1.7742, 1.7809, 1.7731, 1.7799, 1.7317, 1.7404, 1.7393, 1.7397, 1.7073, 1.7183, 1.7196, 1.7222, 1.6962, 1.6942, 1.6936, 1.6914, 1.6767, 1.6703, 1.6881, 1.6722, 1.6608, 1.657, 1.6582, 1.6736, 1.6684, 1.6504, 1.6481, 1.6719, 1.6282, 1.6536, 1.6636]"
